sp_ives	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	npp	humid	pevapo	soilmoist	gdd	evapo
Sapajus_cay_13	0.014859614	0.965591816	-0.605736777	0.755291502	0.442543964	-0.776640462	1.221954588	0.340136869	-0.384121562	0.160898233	-0.298261587	-0.28181187	-0.146498113	-0.339296984	0.146803422	-0.124370985	-0.314142811	0.462527858	-0.500657441	0.236080953	-0.823014178	-0.00458981	0.019994254	0.458265603	0.56808792
Sapajus_cay_14	0.797365445	-0.130804143	-0.747559255	1.171488336	0.929377047	0.284283436	0.29236142	1.791703656	0.057043484	1.350263787	0.165711331	-1.288937605	-1.205076239	-0.433799164	-0.042416631	-1.332572374	-0.487583077	0.039243657	-0.569695387	-1.269274493	-0.657212778	0.828987015	-2.424245256	0.566360409	-0.489104422
Sapajus_cay_15	0.797365445	-0.130804143	-0.747559255	1.171488336	0.929377047	0.284283436	0.29236142	1.791703656	0.057043484	1.350263787	0.165711331	-1.288937605	-1.205076239	-0.433799164	-0.042416631	-1.332572374	-0.487583077	0.039243657	-0.569695387	-1.269274493	-0.657212778	0.828987015	-2.424245256	0.566360409	-0.489104422
Sapajus_cay_16	0.310096244	0.642053295	-0.803764445	1.555414891	0.811532714	-0.440276747	1.072695556	1.401184759	-0.393551567	0.940581245	-0.298707466	-0.747992341	-0.876058713	-0.055790444	-0.520792237	-0.933208735	-0.034711271	0.514147882	-0.519485971	-0.556739811	-0.988815578	0.118036625	-0.83840936	0.462707855	0.335781007
Sapajus_cay_17	0.268784487	0.607881684	-0.78055193	1.522195973	0.745849924	-0.434762724	1.021634603	1.322249913	-0.413436807	0.868773132	-0.320334301	-0.6886203	-0.833143384	-0.08729117	-0.528670559	-0.87760114	-0.025075701	0.570929909	-0.516347883	-0.556739811	-0.988815578	0.279162667	-0.221068967	0.391631818	0.739371646
Sapajus_cay_18	-0.401286001	0.138568694	-0.937200357	1.484217959	-0.322479714	-0.764509143	0.689075067	0.446491503	-0.826311252	0.072083675	-0.798799315	-1.181188345	-1.262296678	-0.370797711	-0.278249588	-1.241578128	-0.333413952	0.199265733	-0.488105087	0.331420097	-1.320418378	-0.525740394	-0.120741453	-0.456838373	-0.149654906
Sapajus_cay_19	-0.671403075	0.50718487	-0.825281366	1.374387433	-0.305093146	-0.982870016	0.960097624	-0.019638916	-0.964892672	-0.280531906	-0.935695061	-0.455530065	-1.07633025	0.19621537	-1.090683764	-1.074755342	0.283262549	0.348963804	-0.189986682	-1.550274286	-0.657212778	-0.166654534	0.971152214	-0.505703148	0.556407359
Sapajus_cay_20	-0.671403075	0.50718487	-0.825281366	1.374387433	-0.305093146	-0.982870016	0.960097624	-0.019638916	-0.964892672	-0.280531906	-0.935695061	-0.455530065	-1.07633025	0.19621537	-1.090683764	-1.074755342	0.283262549	0.348963804	-0.189986682	-1.550274286	-0.657212778	-0.166654534	0.971152214	-0.505703148	0.556407359
Sapajus_cay_21	-0.376620168	0.403579529	-0.777509852	1.459405222	-0.138951669	-0.773331945	0.82393175	0.504653208	-0.788385951	0.124994177	-0.779402524	-1.007470151	-1.405347776	-0.055790444	-0.740314935	-1.236522892	0.032737721	0.204427735	-0.393962433	-1.078596204	-1.154616978	-1.078719805	0.488992498	-0.83591057	-0.550724213
Sapajus_libidinosus	0.671008269	0.896885088	-0.188050982	-0.317824066	1.053017517	-0.111633079	0.846189872	0.658783566	0.40226682	0.59514648	0.547413737	-0.196052255	0.225434743	-0.969311519	1.089959963	0.163777463	-1.046446156	-0.120778419	-0.786223492	-0.792578776	-0.988815578	0.334484971	-0.414398404	0.841780052	-0.167509427
Sapajus_libidinosus_2	0.671008269	0.896885088	-0.188050982	-0.317824066	1.053017517	-0.111633079	0.846189872	0.658783566	0.40226682	0.59514648	0.547413737	-0.196052255	0.225434743	-0.969311519	1.089959963	0.163777463	-1.046446156	-0.120778419	-0.786223492	-0.792578776	-0.988815578	0.334484971	-0.414398404	0.841780052	-0.167509427
Sapajus_libidinosus_3	-0.323807617	-2.100027098	-0.86106171	-0.038944046	-1.3289882	0.531317694	-1.531473636	-0.150504833	-0.062267955	-0.360276649	-0.231374296	-0.536891751	-1.720060192	1.645248799	-2.314642154	-1.716770306	1.516615552	-0.327258516	0.145788785	1.294847705	0.503397021	-0.179995259	0.779312199	-0.126630951	0.439891473
